Title,Subtitile,Link
SEA SHOCK,How Houthis mounted terrifying return after Trump said they ‘don’t want to fight’,https://www.thesun.co.uk/news/35800294/houthis-red-sea-return/
OUTBACK MIRACLE,"Missing ‘bite-ravaged’ backpacker, 26, found ALIVE after 12 days in Oz bush",https://www.thesun.co.uk/news/35800163/german-backpacker-missing-australia-carolina-wilga/
CASH WISH,Watch as dead man’s life savings are dropped from HELICOPTER sparking scramble,https://www.thesun.co.uk/news/35799323/dead-man-cash-helicopter-scramble/
NUKE TORPEDOES,Vlad's stooge threatens US with ‘radioactive TSUNAMI’ using nuke torpedoes,https://www.thesun.co.uk/news/35798606/putin-mouthpiece-threatens-radioactive-tsunami/
HOLS HORROR ,Brit mum drowns in front of family after being swept away at hols hotspot,https://www.thesun.co.uk/news/35796054/mum-drowns-corfu/
BEACH HORROR,"Boy, 17, dies on beach after being buried alive in hole in sand he dug",https://www.thesun.co.uk/news/35796404/teenager-buried-alive-sand-italy/
BRIDEKNAPPING,"Screaming schoolgirls are bundled into cars, raped & made to marry strangers",https://www.thesun.co.uk/news/35745613/bride-kidnapping-kyrgyzstan-forced-marry/
SUPERYACHT FIRE,Luxury £80m Brit superyacht bursts into flames in exclusive hols resort,https://www.thesun.co.uk/news/35795650/superyacht-bursts-flames-resort/
'SPIES' SEIZED,Ukraine arrests Chinese father and son for 'trying to steal missile secrets',https://www.thesun.co.uk/news/35795804/ukraine-arrests-chinese-father-son-spies/
BAGS OF CASH,Original Hermès Birkin bag sells for HUGE sum & is now most expensive in world,https://www.thesun.co.uk/news/35795358/hermes-birkin-bag-auction-record-price/
'KILLING SPREE',IT consultant 'poisons mum and hires 9 assassins to murder ex-wife',https://www.thesun.co.uk/news/35794579/it-consultant-kills-mum-arsenic/
REAL LIFE CASTAWAY,Teen rescued from deserted island after being swept 9 miles offshore,https://www.thesun.co.uk/news/35794995/teen-surfer-dramatically-rescued/
KREMLIN 'COVER-UP','Signs of torture' on body of fired Putin minister in suicide 'cover-up',https://www.thesun.co.uk/news/35793787/sacked-putin-minister-roman-starovoit-torture-signs/
NUKE FEARS,Israel admits some of Iran's underground uranium stockpile SURVIVED Trump blitz,https://www.thesun.co.uk/news/35793067/israel-iran-uranium-survived-us-attack/
VLAD’S REVENGE,Putin stooges DELIGHT in brazen assassination of Ukrainian spy chief,https://www.thesun.co.uk/news/35791157/putin-ordered-ukraine-spy-chief-hit/
SMOKING FURY,Smoking pair on UK jet leave flyers stranded for 17 HOURS in ‘warzone’ scenes,https://www.thesun.co.uk/news/35788913/smoking-pair-tui-jet-flyers-stranded-warzone-scenes/
FROZEN WITH FEAR,Bella's 'cries for help' revealed as she was 'WATCHED by gang at airport',https://www.thesun.co.uk/news/35789438/bella-culley-drugs-gang-airport/
HIPPO BIRTHDAY TO YOU,How 'world’s cutest animal' Moo Deng celebrates first birthday,https://www.thesun.co.uk/news/35790013/moo-deng-pygmy-hippo-birthday/
